Temp./C,Time/min,DSC/(mW/mg),Sensit./(uV/mW),Segment
    27.94100,0.0000e+000, 7.4320e-003,3.74183,1
    27.93433,1.6667e-003, 8.5721e-003,3.74183,1
    27.92980,3.3333e-003, 9.0199e-003,3.74183,1
    27.92600,5.0000e-003, 9.3863e-003,3.74183,1
    27.92211,6.6667e-003, 9.7321e-003,3.74183,1
    27.91836,8.3333e-003, 1.0119e-002,3.74183,1
    27.91446,1.0000e-002, 1.0383e-002,3.74183,1
    27.91053,1.1667e-002, 1.0404e-002,3.74183,1
    27.90671,1.3333e-002, 1.0586e-002,3.74183,1
    27.90271,1.5000e-002, 1.0810e-002,3.74183,1
    27.89900,1.6667e-002, 1.1115e-002,3.74183,1
    27.89524,1.8333e-002, 1.1461e-002,3.74183,1
    27.89129,2.0000e-002, 1.1848e-002,3.74183,1
    27.88753,2.1667e-002, 1.2153e-002,3.74183,1
    27.88371,2.3333e-002, 1.2418e-002,3.74183,1
    27.87982,2.5000e-002, 1.2784e-002,3.74183,1
    27.87588,2.6667e-002, 1.3130e-002,3.74183,1
    27.87194,2.8333e-002, 1.3517e-002,3.74183,1
    27.86788,3.0000e-002, 1.3863e-002,3.74183,1
    27.86394,3.1667e-002, 1.4148e-002,3.74183,1
    27.86000,3.3333e-002, 1.4412e-002,3.74183,1
    27.85606,3.5000e-002, 1.4677e-002,3.74183,1
    27.85218,3.6667e-002, 1.4982e-002,3.74183,1
    27.84824,3.8333e-002, 1.5267e-002,3.74183,1
    27.84429,4.0000e-002, 1.5470e-002,3.74183,1
    27.84035,4.1667e-002, 1.5734e-002,3.74183,1
    27.83635,4.3333e-002, 1.6040e-002,3.74183,1
    27.83224,4.5000e-002, 1.6365e-002,3.74183,1
    27.82818,4.6667e-002, 1.6691e-002,3.74183,1
    27.82424,4.8333e-002, 1.6976e-002,3.74183,1
    27.82035,5.0000e-002, 1.7220e-002,3.74183,1
    27.81629,5.1667e-002, 1.7464e-002,3.74183,1
    27.81218,5.3333e-002, 1.7749e-002,3.74183,1
    27.80812,5.5000e-002, 1.8013e-002,3.74183,1
    27.80412,5.6667e-002, 1.8258e-002,3.74183,1
    27.80012,5.8333e-002, 1.8481e-002,3.74183,1
    27.79612,6.0000e-002, 1.8746e-002,3.74183,1
    27.79206,6.1667e-002, 1.9031e-002,3.74183,1
    27.78794,6.3333e-002, 1.9336e-002,3.74183,1
    27.78376,6.5000e-002, 1.9702e-002,3.74183,1
    27.77959,6.6667e-002, 2.0068e-002,3.74183,1
    27.77535,6.8333e-002, 2.0435e-002,3.74183,1
    27.77106,7.0000e-002, 2.0740e-002,3.74183,1
    27.76676,7.1667e-002, 2.1086e-002,3.74183,1
    27.76259,7.3333e-002, 2.1391e-002,3.74183,1
    27.75841,7.5000e-002, 2.1472e-002,3.74183,1
    27.75424,7.6667e-002, 2.1675e-002,3.74183,1
    27.74988,7.8333e-002, 2.1920e-002,3.74183,1
    27.74559,8.0000e-002, 2.2225e-002,3.74183,1
    27.74141,8.1667e-002, 2.2530e-002,3.74183,1
    27.73724,8.3333e-002, 2.2815e-002,3.74183,1
    27.73294,8.5000e-002, 2.3120e-002,3.74183,1
    27.72865,8.6667e-002, 2.3384e-002,3.74183,1
    27.72424,8.8333e-002, 2.3669e-002,3.74183,1
    27.71988,9.0000e-002, 2.3954e-002,3.74183,1
