Temp./C,Time/min,DSC/(mW/mg),Sensit./(uV/mW),Segment
    27.97000,0.0000e+000,-7.7201e-003,3.74184,1
    27.96467,1.6667e-003,-7.4255e-003,3.74184,1
    27.96120,3.3333e-003,-7.2946e-003,3.74184,1
    27.95829,5.0000e-003,-7.1473e-003,3.74184,1
    27.95544,6.6667e-003,-6.9999e-003,3.74184,1
    27.95245,8.3333e-003,-6.8689e-003,3.74184,1
    27.94962,1.0000e-002,-6.7216e-003,3.74183,1
    27.94680,1.1667e-002,-6.5906e-003,3.74183,1
    27.94394,1.3333e-002,-6.4434e-003,3.74183,1
    27.94088,1.5000e-002,-6.3125e-003,3.74183,1
    27.93812,1.6667e-002,-6.1487e-003,3.74183,1
    27.93535,1.8333e-002,-5.9685e-003,3.74183,1
    27.93259,2.0000e-002,-5.8049e-003,3.74183,1
    27.92976,2.1667e-002,-5.6740e-003,3.74183,1
    27.92688,2.3333e-002,-5.5593e-003,3.74183,1
    27.92400,2.5000e-002,-5.5923e-003,3.74183,1
    27.92106,2.6667e-002,-5.5761e-003,3.74183,1
    27.91824,2.8333e-002,-5.4288e-003,3.74183,1
    27.91547,3.0000e-002,-5.3961e-003,3.74183,1
    27.91253,3.1667e-002,-5.3472e-003,3.74183,1
    27.90953,3.3333e-002,-5.1343e-003,3.74183,1
    27.90659,3.5000e-002,-5.0525e-003,3.74183,1
    27.90371,3.6667e-002,-4.9380e-003,3.74183,1
    27.90071,3.8333e-002,-4.8727e-003,3.74183,1
    27.89771,4.0000e-002,-4.7745e-003,3.74183,1
    27.89471,4.1667e-002,-4.5616e-003,3.74183,1
    27.89171,4.3333e-002,-4.3487e-003,3.74183,1
    27.88859,4.5000e-002,-4.2506e-003,3.74183,1
    27.88553,4.6667e-002,-4.1689e-003,3.74183,1
    27.88253,4.8333e-002,-4.0216e-003,3.74183,1
    27.87947,5.0000e-002,-3.8578e-003,3.74183,1
    27.87641,5.1667e-002,-3.6941e-003,3.74183,1
    27.87335,5.3333e-002,-3.5632e-003,3.74183,1
    27.87024,5.5000e-002,-3.4323e-003,3.74183,1
    27.86712,5.6667e-002,-3.3341e-003,3.74183,1
    27.86400,5.8333e-002,-3.2196e-003,3.74183,1
    27.86100,6.0000e-002,-3.1215e-003,3.74183,1
    27.85800,6.1667e-002,-3.0069e-003,3.74183,1
    27.85488,6.3333e-002,-2.8760e-003,3.74183,1
    27.85171,6.5000e-002,-2.7778e-003,3.74183,1
    27.84859,6.6667e-002,-2.6470e-003,3.74183,1
    27.84547,6.8333e-002,-2.5652e-003,3.74183,1
    27.84235,7.0000e-002,-2.4343e-003,3.74183,1
    27.83923,7.1667e-002,-2.3033e-003,3.74183,1
    27.83606,7.3333e-002,-2.1888e-003,3.74183,1
    27.83288,7.5000e-002,-2.0906e-003,3.74183,1
    27.82965,7.6667e-002,-1.9434e-003,3.74183,1
    27.82641,7.8333e-002,-1.7961e-003,3.74183,1
    27.82318,8.0000e-002,-1.6815e-003,3.74183,1
    27.82006,8.1667e-002,-1.5834e-003,3.74183,1
    27.81688,8.3333e-002,-1.4853e-003,3.74183,1
    27.81371,8.5000e-002,-1.3543e-003,3.74183,1
    27.81053,8.6667e-002,-1.2399e-003,3.74183,1
    27.80729,8.8333e-002,-1.1253e-003,3.74183,1
    27.80400,9.0000e-002,-1.0108e-003,3.74183,1
    27.80082,9.1667e-002,-8.6354e-004,3.74183,1
    27.79765,9.3333e-002,-7.6539e-004,3.74183,1
    27.79435,9.5000e-002,-7.4913e-004,3.74183,1
    27.79118,9.6667e-002,-6.8382e-004,3.74183,1
    27.78794,9.8333e-002,-6.1846e-004,3.74183,1
    27.78465,    0.10000,-5.8581e-004,3.74183,1
    27.78135,    0.10167,-5.0411e-004,3.74183,1
    27.77806,    0.10333,-4.2242e-004,3.74183,1
    27.77476,    0.10500,-3.4066e-004,3.74183,1
